Site,type,plot,hookeri.count,side,percent.bare
C27,off,A,11,,70
C27,off,B,0,,60
C27,off,C,0,,50
C27,off,D,0,,40
C27,off,E,0,,50
C27,off,F,1,,60
C27,off,G,1,,70
C27,off,H,0,,45
C27,off,I,1,,60
C27,off,J,11,,70
C27,off,K,1,,45
C27,off,L,0,,60
C27,off,M,11,,50
C27,off,N,1,,70
C27,off,O,0,,50
C27,off,P,0,,55
B42,off,A,0,,60
B42,off,B,0,,40
B42,off,C,0,,50
B42,off,D,0,,45
B42,off,E,0,,20
B42,off,F,6,,70
B42,off,G,1,,50
B42,off,H,2,,50
B42,off,I,0,,80
B42,off,J,1,,60
B42,off,K,0,,85
B42,off,L,17,,90
B42,off,M,0,,85
B42,off,N,11,,90
B42,off,O,0,,60
B42,off,P,0,,75
B46,off,A,0,,30
B46,off,B,0,,25
B46,off,C,0,,15
B46,off,D,0,,5
B46,off,E,0,,10
B46,off,F,0,,20
B46,off,G,0,,20
B46,off,H,0,,25
B46,off,I,0,,40
B46,off,J,0,,15
B46,off,K,0,,10
B46,off,L,0,,10
B46,off,M,0,,25
B46,off,N,0,,20
B46,off,O,0,,20
B46,off,P,0,,20
B46,off,Q,0,,25
L17,off,A,0,,20
L17,off,B,0,,10
L17,off,C,0,,25
L17,off,D,1,,40
L17,off,E,3,,20
L17,off,F,2,,40
L17,off,G,2,,30
L17,off,H,4,,40
L17,off,I,3,,35
L17,off,J,1,,65
L17,off,K,1,,50
L17,off,L,1,,55
L17,off,M,1,,70
L17,off,N,0,,35
L17,off,O,1,,75
L17,off,P,0,,60
L12,off,A,0,,40
L12,off,B,0,,35
L12,off,C,1,,70
L12,off,D,0,,60
L12,off,E,0,,70
L12,off,F,0,,60
L12,off,G,0,,50
L12,off,H,0,,35
L12,off,I,1,,55
L12,off,J,0,,30
L12,off,K,1,,65
L12,off,L,1,,80
L12,off,M,0,,65
L12,off,N,7,,75
L12,off,O,3,,80
L12,off,P,0,,50
L11,off,A,0,,30
L11,off,B,0,,80
L11,off,C,2,,50
L11,off,D,0,,45
L11,off,E,0,,80
L11,off,F,0,,85
L11,off,G,0,,50
L11,off,H,0,,70
L11,off,I,8,,80
L11,off,J,2,,75
L11,off,K,4,,55
L11,off,L,3,,85
L11,off,M,0,,85
L11,off,N,1,,95
L11,off,O,3,,75
L11,off,P,1,,60
C27,on,0-1,,L,35
C27,on,1-2,,L,30
C27,on,2-3,,L,50
C27,on,3-4,,L,50
C27,on,4-5,,L,60
C27,on,5-6,,L,50
C27,on,6-7,,L,55
C27,on,7-8,,L,40
C27,on,8-9,,L,35
C27,on,9-10,,L,40
C27,on,10-11,,L,35
C27,on,11-12,,L,55
C27,on,12-13,,L,50
C27,on,13-14,,L,30
C27,on,14-15,,L,40
C27,on,0-1,,R,35
C27,on,1-2,,R,30
C27,on,2-3,,R,35
C27,on,3-4,,R,50
C27,on,4-5,,R,45
C27,on,5-6,,R,30
C27,on,6-7,,R,35
C27,on,7-8,,R,50
C27,on,8-9,,R,60
C27,on,9-10,,R,50
C27,on,10-11,,R,60
C27,on,11-12,,R,50
C27,on,12-13,,R,40
C27,on,13-14,,R,50
C27,on,14-15,,R,50
B42,on,0-1,,L,50
B42,on,1-2,,L,50
B42,on,2-3,,L,25
B42,on,3-4,,L,15
B42,on,4-5,,L,30
B42,on,5-6,,L,30
B42,on,6-7,,L,50
B42,on,7-8,,L,65
B42,on,8-9,,L,70
B42,on,9-10,,L,60
B42,on,10-11,,L,30
B42,on,11-12,,L,50
B42,on,12-13,,L,30
B42,on,13-14,,L,15
B42,on,14-15,,L,20
B42,on,15-16,,L,10
B42,on,16-17,,L,35
B42,on,17-18,,L,30
B42,on,18-19,,L,20
B42,on,19-20,,L,30
B42,on,20-21,,L,40
B42,on,21-22,,L,50
B42,on,22-23,,L,40
B42,on,23-24,,L,50
B42,on,24-25,,L,50
B42,on,25-26,,L,60
B42,on,0-1,,R,40
B42,on,1-2,,R,50
B42,on,2-3,,R,40
B42,on,3-4,,R,25
B42,on,4-5,,R,35
B42,on,5-6,,R,60
B42,on,6-7,,R,50
B42,on,7-8,,R,60
B42,on,8-9,,R,50
B42,on,9-10,,R,60
B42,on,10-11,,R,65
B42,on,11-12,,R,45
B42,on,12-13,,R,30
B42,on,13-14,,R,20
B42,on,14-15,,R,20
B42,on,15-16,,R,40
B42,on,16-17,,R,45
B42,on,17-18,,R,65
B42,on,18-19,,R,35
B42,on,19-20,,R,30
B42,on,20-21,,R,40
B42,on,21-22,,R,45
B42,on,22-23,,R,50
B42,on,23-24,,R,70
B42,on,24-25,,R,80
B42,on,25-26,,R,80
B46,on,0-1,,L,20
B46,on,1-2,,L,20
B46,on,2-3,,L,30
B46,on,3-4,,L,25
B46,on,4-5,,L,35
B46,on,5-6,,L,30
B46,on,6-7,,L,15
B46,on,7-8,,L,35
B46,on,8-9,,L,20
B46,on,9-10,,L,10
B46,on,10-11,,L,15
B46,on,11-12,,L,20
B46,on,12-13,,L,25
B46,on,13-14,,L,30
B46,on,14-15,,L,50
B46,on,15-16,,L,20
B46,on,16-17,,L,30
B46,on,17-18,,L,25
B46,on,18-19,,L,25
B46,on,19-20,,L,20
B46,on,20-21,,L,25
B46,on,21-22,,L,25
B46,on,22-23,,L,35
B46,on,23-24,,L,20
B46,on,24-25,,L,25
B46,on,25-26,,L,30
B46,on,26-27,,L,35
B46,on,27-28,,L,25
B46,on,28-29,,L,10
B46,on,29-30,,L,10
B46,on,0-1,,R,20
B46,on,1-2,,R,20
B46,on,2-3,,R,20
B46,on,3-4,,R,15
B46,on,4-5,,R,20
B46,on,5-6,,R,20
B46,on,6-7,,R,20
B46,on,7-8,,R,25
B46,on,8-9,,R,15
B46,on,9-10,,R,10
B46,on,10-11,,R,15
B46,on,11-12,,R,15
B46,on,12-13,,R,20
B46,on,13-14,,R,20
B46,on,14-15,,R,20
B46,on,15-16,,R,15
B46,on,16-17,,R,15
B46,on,17-18,,R,20
B46,on,18-19,,R,30
B46,on,19-20,,R,10
B46,on,20-21,,R,25
B46,on,21-22,,R,20
B46,on,22-23,,R,10
B46,on,23-24,,R,10
B46,on,24-25,,R,10
B46,on,25-26,,R,15
B46,on,26-27,,R,20
B46,on,27-28,,R,30
B46,on,28-29,,R,30
B46,on,29-30,,R,20
L17,on,0-1,,L,10
L17,on,1-2,,L,15
L17,on,2-3,,L,15
L17,on,3-4,,L,10
L17,on,4-5,,L,15
L17,on,5-6,,L,15
L17,on,6-7,,L,25
L17,on,7-8,,L,20
L17,on,8-9,,L,15
L17,on,9-10,,L,20
L17,on,10-11,,L,15
L17,on,11-12,,L,10
L17,on,12-13,,L,10
L17,on,13-14,,L,20
L17,on,14-15,,L,20
L17,on,15-16,,L,50
L17,on,16-17,,L,50
L17,on,17-18,,L,60
L17,on,18-19,,L,50
L17,on,19-20,,L,70
L17,on,20-21,,L,70
L17,on,21-22,,L,60
L17,on,22-23,,L,50
L17,on,23-24,,L,75
L17,on,24-25,,L,80
L17,on,25-26,,L,50
L17,on,26-27,,L,70
L17,on,27-28,,L,85
L17,on,28-29,,L,70
L17,on,29-30,,L,60
L17,on,0-1,,R,20
L17,on,1-2,,R,40
L17,on,2-3,,R,20
L17,on,3-4,,R,30
L17,on,4-5,,R,60
L17,on,5-6,,R,45
L17,on,6-7,,R,25
L17,on,7-8,,R,40
L17,on,8-9,,R,25
L17,on,9-10,,R,30
L17,on,10-11,,R,40
L17,on,11-12,,R,30
L17,on,12-13,,R,40
L17,on,13-14,,R,35
L17,on,14-15,,R,40
L17,on,15-16,,R,40
L17,on,16-17,,R,60
L17,on,17-18,,R,55
L17,on,18-19,,R,75
L17,on,19-20,,R,70
L17,on,20-21,,R,75
L17,on,21-22,,R,65
L17,on,22-23,,R,85
L17,on,23-24,,R,80
L17,on,24-25,,R,75
L17,on,25-26,,R,60
L17,on,26-27,,R,70
L17,on,27-28,,R,
L17,on,28-29,,R,60
L17,on,29-30,,R,60
L12,on,0-1,,L,65
L12,on,1-2,,L,60
L12,on,2-3,,L,60
L12,on,3-4,,L,60
L12,on,4-5,,L,70
L12,on,5-6,,L,60
L12,on,6-7,,L,70
L12,on,7-8,,L,65
L12,on,8-9,,L,70
L12,on,9-10,,L,80
L12,on,10-11,,L,80
L12,on,11-12,,L,80
L12,on,12-13,,L,75
L12,on,13-14,,L,85
L12,on,14-15,,L,90
L12,on,15-16,,L,90
L12,on,16-17,,L,95
L12,on,17-18,,L,95
L12,on,18-19,,L,90
L12,on,19-20,,L,95
L12,on,20-21,,L,85
L12,on,21-22,,L,85
L12,on,22-23,,L,80
L12,on,23-24,,L,85
L12,on,24-25,,L,80
L12,on,25-26,,L,80
L12,on,26-27,,L,85
L12,on,27-28,,L,85
L12,on,28-29,,L,80
L12,on,29-30,,L,90
L12,on,0-1,,R,70
L12,on,1-2,,R,65
L12,on,2-3,,R,70
L12,on,3-4,,R,60
L12,on,4-5,,R,65
L12,on,5-6,,R,65
L12,on,6-7,,R,70
L12,on,7-8,,R,70
L12,on,8-9,,R,60
L12,on,9-10,,R,40
L12,on,10-11,,R,50
L12,on,11-12,,R,50
L12,on,12-13,,R,55
L12,on,13-14,,R,55
L12,on,14-15,,R,55
L12,on,15-16,,R,50
L12,on,16-17,,R,60
L12,on,17-18,,R,60
L12,on,18-19,,R,65
L12,on,19-20,,R,55
L12,on,20-21,,R,60
L12,on,21-22,,R,50
L12,on,22-23,,R,50
L12,on,23-24,,R,45
L12,on,24-25,,R,45
L12,on,25-26,,R,55
L12,on,26-27,,R,60
L12,on,27-28,,R,65
L12,on,28-29,,R,35
L12,on,29-30,,R,40
L11,on,0-1,,L,80
L11,on,1-2,,L,90
L11,on,2-3,,L,90
L11,on,3-4,,L,80
L11,on,4-5,,L,75
L11,on,5-6,,L,60
L11,on,6-7,,L,65
L11,on,7-8,,L,65
L11,on,8-9,,L,50
L11,on,9-10,,L,70
L11,on,10-11,,L,60
L11,on,11-12,,L,70
L11,on,12-13,,L,75
L11,on,13-14,,L,75
L11,on,14-15,,L,80
L11,on,15-16,,L,70
L11,on,16-17,,L,75
L11,on,17-18,,L,85
L11,on,18-19,,L,80
L11,on,19-20,,L,85
L11,on,20-21,,L,80
L11,on,21-22,,L,75
L11,on,22-23,,L,80
L11,on,23-24,,L,85
L11,on,24-25,,L,75
L11,on,25-26,,L,40
L11,on,26-27,,L,55
L11,on,27-28,,L,60
L11,on,28-29,,L,80
L11,on,29-30,,L,75
L11,on,0-1,,R,90
L11,on,1-2,,R,85
L11,on,2-3,,R,85
L11,on,3-4,,R,70
L11,on,4-5,,R,65
L11,on,5-6,,R,55
L11,on,6-7,,R,70
L11,on,7-8,,R,75
L11,on,8-9,,R,80
L11,on,9-10,,R,80
L11,on,10-11,,R,75
L11,on,11-12,,R,80
L11,on,12-13,,R,75
L11,on,13-14,,R,80
L11,on,14-15,,R,70
L11,on,15-16,,R,75
L11,on,16-17,,R,80
L11,on,17-18,,R,70
L11,on,18-19,,R,65
L11,on,19-20,,R,65
L11,on,20-21,,R,80
L11,on,21-22,,R,60
L11,on,22-23,,R,80
L11,on,23-24,,R,75
L11,on,24-25,,R,80
L11,on,25-26,,R,60
L11,on,26-27,,R,60
L11,on,27-28,,R,70
L11,on,28-29,,R,45
L11,on,29-30,,R,75